Coluna (Sheets),Nome da Coluna (SSOT),Tipo (Sheets),Obrigatoriedade,Descrição
AV,maintenance_burden,TEXT,NOT NULL,Enum humanizado do fardo de manutenção.
AW,onboarding_friction,TEXT,NOT NULL,Enum humanizado da fricção de onboarding.
AX,observability_operational,TEXT,NOT NULL,Enum humanizado de observabilidade operacional.
AY,recoverability_level,TEXT,NOT NULL,Enum humanizado de recuperabilidade.
AZ,degradation_behavior,TEXT,NOT NULL,Enum humanizado do comportamento sob degradação.
BA,curation_burden,TEXT,NOT NULL,Enum humanizado do fardo de curadoria.
BB,evolution_cost,TEXT,NOT NULL,Enum humanizado do custo de evolução.
BC,operability_level,TEXT,NOT NULL,Enum humanizado de operabilidade.
BD,abandonment_risk,TEXT,NOT NULL,Enum humanizado do risco de abandono.
BE,time_to_first_clear_value,TEXT,NOT NULL,Enum humanizado do tempo para primeiro valor claro.
BF,imperfection_tolerance,TEXT,NOT NULL,Enum humanizado de tolerância a imperfeição.
BG,entropy_risk,TEXT,NOT NULL,Enum humanizado do risco de entropia.
BH,design_misuse_risk,TEXT,NOT NULL,Enum humanizado do risco de mau uso.
BI,intrinsic_ethics_risk,TEXT,NOT NULL,Enum humanizado do risco ético intrínseco.
BJ,discipline_dependency,TEXT,NOT NULL,Enum humanizado de dependência de disciplina.
BK,regulatory_risk,TEXT,NOT NULL,Enum humanizado do risco regulatório.
BL,score_philosophical_fit,TEXT,NOT NULL,Score inteiro 0–10 (serializado como texto).
BM,score_bare_metal_fit,TEXT,NOT NULL,Score inteiro 0–10 (serializado como texto).
BN,score_architectural_extractability,TEXT,NOT NULL,Score inteiro 0–10 (serializado como texto).
BO,score_operability,TEXT,NOT NULL,Score inteiro 0–10 (serializado como texto).
BP,score_creep_risk,TEXT,NOT NULL,Score inteiro 0–10 (serializado como texto).
BQ,score_runtime_sovereignty,TEXT,NOT NULL,Score inteiro 0–10 (serializado como texto).
BR,score_model_logic_value,TEXT,NOT NULL,Score inteiro 0–10 (serializado como texto).
BS,score_ethics_safety,TEXT,NOT NULL,Score inteiro 0–10 (serializado como texto).
BT,score_intrinsic_risk,TEXT,NOT NULL,Score inteiro 0–10 (serializado como texto).
BU,score_final,TEXT,NOT NULL,"Score final float, 1 casa decimal (texto)."
BV,score_fit_geral_soda,TEXT,NOT NULL,"Score fit geral float, 1 casa decimal (texto)."
BW,score_architectural_priority,TEXT,NOT NULL,"Score derivado float, 1 casa decimal (texto)."
BX,score_human_product_priority,TEXT,NOT NULL,"Score derivado float, 1 casa decimal (texto)."
BY,score_absorption_readiness,TEXT,NOT NULL,"Score derivado float, 1 casa decimal (texto)."
BZ,score_operational_priority,TEXT,NOT NULL,"Score derivado float, 1 casa decimal (texto)."
CA,score_sustainability_adjusted_fit,TEXT,NOT NULL,"Score derivado float, 1 casa decimal (texto)."
CB,valid_from,TEXT,NOT NULL,"Data/hora UTC formatada (YYYY-MM-DDTHH:MM:SSZ)."
CC,valid_to,TEXT,-,"Data/hora UTC formatada (YYYY-MM-DDTHH:MM:SSZ) ou vazio."
CD,embargo_status,TEXT,NOT NULL,"LIVRE ou EMBARGADO."
